LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),( ),( ),( ),(frame),,( ),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID69633,69633,0,49.66016387939453,49.966835629434996,608.0233402040947,0.0,8.0,8,4.5,1,,62387.67010309278,62384.0,62161.0,62697.0,6051604.0,100.66008411661626,4.079523947418245E-4,0.5054798235154623
ID70017,70017,0,45.550682067871094,47.11575794130059,597.7536495815997,0.0,21.0,21,4.5,1,,62374.85567010309,62371.0,62162.0,62632.0,6050361.0,88.20324418763383,3.350513111752269E-4,0.4737190236403035
ID69920,69920,0,45.017425537109375,50.09199909179037,593.4264214777747,0.0,16.0,16,4.5,1,,62383.03092783506,62381.0,62164.0,62633.0,6051154.0,87.50731559992656,2.549047010331402E-4,0.3633450608558045
ID69952,69952,0,45.9180908203125,48.20436846690494,595.8464547500554,0.0,18.0,18,4.5,1,,62382.917525773206,62371.0,62151.0,62616.0,6051143.0,87.20995620043104,3.220084312195348E-4,0.4605290477224486
ID69987,69987,0,43.20053482055664,48.963318847015394,596.3476355931793,0.0,19.0,19,4.5,1,,62379.010309278354,62388.0,62086.0,62602.0,6050764.0,88.68360131733299,1.970411172755505E-4,0.27713823757239636
ID69675,69675,0,48.88990020751953,53.20070010636367,607.4004372471355,0.0,10.0,10,4.5,1,,62389.134020618556,62384.0,62218.0,62640.0,6051746.0,84.98107986315482,3.9577666893958333E-4,0.5808915340781033
ID70091,70091,0,46.20552444458008,45.742564562770276,596.3361096963902,0.0,22.0,22,4.5,1,,62392.865979381466,62398.0,62201.0,62629.0,6052108.0,89.47609420793863,5.15345431378811E-4,0.7183441990466242
ID69423,69423,0,47.14752960205078,48.8323561819423,615.4908469561387,0.0,6.0,6,4.5,1,,62372.40206185565,62355.0,62146.0,62664.0,6050123.0,96.99233859282126,2.819097826193595E-4,0.362470583326674
ID69714,69714,0,44.31846618652344,49.74145230409508,603.5152823049455,0.0,11.0,11,4.5,1,,62376.77319587629,62383.0,62100.0,62561.0,6050547.0,88.89700327188565,2.799696158886729E-4,0.3927851936552943
ID69458,69458,0,45.98119354248047,49.51105416420613,617.124048530783,0.0,5.0,5,4.5,1,,62379.42268041236,62379.0,62163.0,62615.0,6050804.0,87.68526043131318,2.661579172796894E-4,0.37858949965603467
ID69749,69749,0,45.00935363769531,49.19765538345987,596.1259134786801,0.0,14.0,14,4.5,1,,62369.97938144331,62368.0,62211.0,62590.0,6049888.0,86.58088455569583,3.3526001545361277E-4,0.4828583668873893
ID69524,69524,0,46.12263107299805,49.35629750215334,621.5089182598393,0.0,3.0,3,4.5,1,,62351.36082474225,62345.0,62170.0,62678.0,6048082.0,87.8502733783228,2.7280191410090644E-4,0.3871344037522779
ID69559,69559,0,46.12192916870117,47.907985157727325,612.4094469997958,0.0,7.0,7,4.5,1,,62376.58762886596,62368.0,62152.0,62571.0,6050529.0,92.15032471652405,3.121839354642669E-4,0.4225029356313394
ID69783,69783,0,43.23203659057617,54.646091467142064,597.7447286486354,0.0,13.0,13,4.5,1,,62361.52577319588,62364.0,62161.0,62627.0,6049068.0,93.96055164973767,1.975289055455547E-4,0.2621476991585107
ID69494,69494,0,46.86113739013672,47.435163531125404,623.2864559225749,0.0,2.0,2,4.5,1,,62354.185567010325,62348.0,62116.0,62574.0,6048356.0,91.85499554289672,3.787033980190577E-4,0.5139579528890941
ID69818,69818,0,46.5458984375,53.600025553652124,600.7009526769812,0.0,12.0,12,4.5,1,,62380.402061855704,62382.0,62174.0,62632.0,6050899.0,90.78897920840652,3.608831633553996E-4,0.4957411293627878
ID69885,69885,0,44.21870422363281,46.50213628038335,595.8378739884896,0.0,17.0,17,4.5,1,,62371.65979381443,62370.0,62171.0,62594.0,6050051.0,88.58175209445626,2.3034274445418065E-4,0.32430044368625605
ID69852,69852,0,44.03923416137695,49.779134515003236,596.9897302737251,0.0,15.0,15,4.5,1,,62381.61855670099,62384.0,62043.0,62585.0,6051017.0,87.97483580771944,3.356581785414787E-4,0.47586049606483694
ID69598,69598,0,44.75984573364258,53.561743507381486,609.5629083361919,0.0,9.0,9,4.5,1,,62376.721649484534,62376.0,62194.0,62555.0,6050542.0,79.72161750272542,2.4358208178188167E-4,0.38107986619378065
ID69632,69632,1,50.335662841796875,70.51539106826253,535.8842842993743,0.0,8.0,8,4.5,1,,62398.865979381444,62398.0,62128.0,62654.0,6052690.0,95.01081395315602,4.563356007613578E-4,0.599128344666163
ID69522,69522,1,59.14421463012695,72.75535993119425,541.9277122307404,0.0,3.0,3,4.5,1,,62403.01030927835,62394.0,62132.0,62676.0,6053092.0,121.72882215240432,5.341191043452505E-4,0.5473288307210777
ID69492,69492,1,55.43635177612305,71.82290886933303,540.0167798994307,0.0,2.0,2,4.5,1,,62410.01030927834,62397.0,62128.0,62650.0,6053771.0,106.27916215927908,5.479402907149021E-4,0.6431784155585503
ID69671,69671,1,47.65729522705078,74.52788677386586,534.9512893133028,0.0,10.0,10,4.5,1,,62404.999999999985,62409.0,62193.0,62634.0,6053285.0,88.4326485712903,4.4194360848872873E-4,0.6234644814483368
ID69383,69383,1,58.95546340942383,68.94948541227535,543.089395909942,0.0,4.0,4,4.5,1,,62408.391752577314,62391.0,62173.0,62676.0,6053614.0,115.4693823686817,5.698703123076448E-4,0.6156512358830478
