LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1646617,1646617,0,81.41670227050781,10.200092570295785,349.00149320061223,0.0,9.0,9,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1650264,1650264,0,81.78289031982422,44.05506903569583,374.7390356849771,0.0,31.0,31,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1649437,1649437,0,80.5032958984375,40.75658969717959,372.02929659634646,0.0,30.0,30,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9401778496362168,1.2989211899866202
ID1648028,1648028,0,78.53199768066406,16.585011599062643,356.28338559852034,0.0,12.0,12,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.9149751053236307,1.3605230711116312
ID1648732,1648732,0,69.94481658935547,17.70772810908067,351.09601554866646,0.0,15.0,15,3.0,1,,117.16216216216216,0.0,0.0,255.0,4335.0,128.833120636632,0.9573978123200921,0.8896172164099059
ID1647888,1647888,0,80.10204315185547,24.435399798151668,362.5646002289104,0.0,18.0,18,3.0,1,,192.97297297297297,255.0,0.0,255.0,7140.0,110.91450323121413,0.8995929443690639,1.6478726194351838
ID1649296,1649296,0,78.75225830078125,20.312231809347466,366.33117334277983,0.0,24.0,24,3.0,1,,158.51351351351352,255.0,0.0,255.0,5865.0,125.37646013808482,0.9683354728284124,1.2439616921848111
ID1645770,1645770,0,82.00314331054688,0.0,348.0,0.0,7.0,7,3.0,1,,169.2972972972973,255.0,0.0,255.0,6264.0,119.2035758376925,1.0,1.420236734574241
ID1648589,1648589,0,70.60424041748047,14.578992043346663,358.09553306894054,0.0,13.0,13,3.0,1,,117.16216216216216,0.0,0.0,255.0,4335.0,128.833120636632,1.0,0.9094102633174023
ID1650126,1650126,0,81.12346649169922,27.963870012611398,372.4038787253712,0.0,26.0,26,3.0,1,,186.0810810810811,255.0,0.0,255.0,6885.0,114.80741806714073,0.9210245464247598,1.5541772830108633
ID1648449,1648449,0,80.5032958984375,16.14434637596279,357.6442166014483,0.0,21.0,21,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9401778496362168,1.2989211899866202
ID1649985,1649985,0,81.12346649169922,37.96309723498483,379.14233014154655,0.0,32.0,32,3.0,1,,186.0810810810811,255.0,0.0,255.0,6885.0,114.80741806714073,0.9210245464247598,1.5541772830108633
ID1647744,1647744,0,76.48773193359375,21.70342952218552,361.60198628403555,0.0,17.0,17,3.0,1,,165.40540540540542,255.0,0.0,255.0,6120.0,123.41426611652757,0.9115890083632019,1.2782590730349843
ID1649156,1649156,0,81.41668701171875,21.87726570709819,368.6067121817535,0.0,25.0,25,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1647609,1647609,0,82.07611846923828,22.146389147835222,358.0450828904185,0.0,19.0,19,3.0,1,,186.0810810810811,255.0,0.0,255.0,6885.0,114.80741806714073,0.9729630982827913,1.5985994996747506
ID1646899,1646899,0,82.07611846923828,8.801079544559245,349.8502910982793,0.0,8.0,8,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9719378081152824,1.4949132043585291
ID1648308,1648308,0,79.6656494140625,15.644570803176457,359.92209120955835,0.0,22.0,22,3.0,1,,158.51351351351352,255.0,0.0,255.0,5865.0,125.37646013808482,0.9683354728284124,1.2439616921848111
ID1649847,1649847,0,81.05049896240234,26.81343271552335,374.6037455237096,0.0,27.0,27,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1648169,1648169,0,77.91460418701172,18.241814657159743,355.0780379358499,0.0,14.0,14,3.0,1,,158.51351351351352,255.0,0.0,255.0,5865.0,125.37646013808482,1.0,1.2643004383672407
ID1646762,1646762,0,81.23570251464844,11.079536330754253,355.17951530693097,0.0,11.0,11,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.9425019425019425,1.3815943786173366
ID1648874,1648874,0,79.0792007446289,17.434853145664768,363.66740558727315,0.0,23.0,23,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.918111398008115,1.4517514497262503
ID1647469,1647469,0,82.00314331054688,19.86151655927969,356.99999964008157,0.0,20.0,20,3.0,1,,158.51351351351352,255.0,0.0,255.0,5865.0,125.37646013808482,1.0,1.2643004383672407
ID1649709,1649709,0,79.7386245727539,40.214757925592444,383.36738875190696,0.0,33.0,33,3.0,1,,179.1891891891892,255.0,0.0,255.0,6630.0,118.16016386381808,0.9446522064323112,1.47333232704239
ID1646060,1646060,0,81.70992279052734,10.130495289750481,353.2278807085746,0.0,10.0,10,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.9708316909735907,1.402665686123042
ID1650540,1650540,0,81.05049896240234,32.819510113565336,370.73954208778736,0.0,28.0,28,3.0,1,,172.2972972972973,255.0,0.0,255.0,6375.0,121.0176444584437,0.9425019425019425,1.3815943786173366
